,account_number,act_no,access_count,SEX_F,SEX_M,age_group,income_group,account_age,LIFESTAGE_1,LIFESTAGE_2,LIFESTAGE_3,LIFESTAGE_4,LIFESTAGE_5,LIFESTAGE_6,LIFESTAGE_7,LIFESTAGE_8,LIFESTAGE_9,LIFESTAGE_10,nh_level,invest_exp_group,HOLDINGS_TYPE_1.0,HOLDINGS_TYPE_2.0,HOLDINGS_TYPE_3.0,HOLDINGS_TYPE_4.0,loyalty,SECTOR_1.0,SECTOR_2.0,SECTOR_3.0,SECTOR_4.0,SECTOR_5.0,SECTOR_6.0,SECTOR_7.0,SECTOR_8.0,SECTOR_9.0,SECTOR_10.0,SECTOR_11.0,SECTOR_12.0,SECTOR_13.0,SECTOR_14.0,SECTOR_15.0,SECTOR_16.0,kr_stock_yn,overseas_stock_yn,risk_tolerance,sophistication,stock_wealth_level,trading_frequency,peak_asset_value,value_weighted_volatility,leverage,TOTAL_DURATION,TOTAL_VIEW_CNT,TOTAL_FOREIGN,TOTAL_ADV,TOTAL_AI,TOTAL_NTP,TOTAL_MAT,Label,Center
0,2.0,0.0003000900270081,0.6000000000000001,0.0,1.0,0.625,0.0,0.1967865097041043,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.6000000000000001,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.75,0.5000000000000001,0.12898872668242,0.1771905841381836,0.0,0.0022911170896852,0.0005325380764724,1.2983710803031654e-06,0.0,0.0,0.0,1.6214635861250068e-05,2.0,
1,6.0,0.0009002700810243,1.0000000000000002,0.0,1.0,0.0,0.0,0.0612472160356347,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.4000000000000001,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.0,0.6000000000000001,0.0019965677030772,0.0971666008168807,0.0,2.526802958563626e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
2,10.0,0.0013003901170351,1.0000000000000002,1.0,0.0,0.375,0.0,0.0418390073178491,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.4000000000000001,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.1,0.0036804409355196,0.094573913349702,0.0,0.0011870575299686,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
3,14.0,0.0019005701710513,1.0000000000000002,1.0,0.0,1.0,0.0,0.9741489023226216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,1.0000000000000002,1.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.25,0.8,0.0338524302412729,0.1141725198309094,0.0,0.0866289333952629,0.0892178790783541,6.993968819296786e-05,0.0,0.0,0.0,0.0123920713300485,2.0,
4,18.0,0.0024007202160648,0.0,1.0,0.0,0.375,0.0,0.171174037543748,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.4000000000000001,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.1,0.0051906121965518,0.1820108157316018,0.0,0.0002116061714047,3.550253843149785e-05,0.0,0.0,0.0,0.0,0.0,2.0,
5,22.0,0.0028008402520756,0.2,0.0,1.0,0.0,0.0,0.0536907413299395,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.4000000000000001,1.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.6000000000000001,0.0053387627513019,0.1158104281840989,0.0,0.0222054485666223,0.0128519189122022,0.0693516409936861,0.0062965348598368,0.0,0.0046038213738264,0.0030167114781326,2.0,
6,26.0,0.0035010503150945,1.0000000000000002,1.0,0.0,0.875,0.0,0.015033407572383,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.0,0.7000000000000001,0.0051902762384347,0.1886388100170638,0.0,0.0005080742694792,0.0006390456917669,0.0,0.0,0.0,0.0,0.0,2.0,
7,30.0,0.0039011703511053,0.8,1.0,0.0,0.0,0.0,0.4209354120267261,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.4000000000000001,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.2,0.0022492163445609,0.101532527579126,0.0,8.321519225105242e-06,7.100507686299572e-05,0.0,0.0,0.0,0.0,0.0,2.0,
8,34.0,0.0043012903871161,1.0000000000000002,0.0,1.0,0.5,0.0,0.0657015590200445,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4000000000000001,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.25,0.7000000000000001,0.0284319017941739,0.1478938358076547,0.0,0.0001106634279292,0.0007100507686299,0.0,0.0,0.0,0.0,1.965845232735628e-05,2.0,
9,38.0,0.0049014704411323,0.6000000000000001,0.0,1.0,0.625,0.0,0.0289532293986637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.2,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.25,0.8,0.0333278868593872,0.3391684182631596,0.0,0.0001748125981092,0.0016331167678489,1.4362511950256255e-06,0.0,0.0039642172801441,0.0,1.1838119102240092e-05,2.0,
