,index,cus_no,act_no
0,0,92ed7cdc3e3673226a613892c47a8eccfe602d0fbdb3492af085aa52c0d8fbea,3610f0105b67e30709e55c546c75c45b8c9d589e90fb9f5c43cec7d68343b764
1,6,3072d776c716010235dd75b3195d760bf3c46e00deee4e5bfc4ebc1562e76266,afa2e6df88371acd0768c15a14aebf9e81ed131af729e330e7da54303e576594
2,12,dc6eb520d8a2ca7fcc5e95aef37120b8b1d91a3d30bd7e360f11d7eb85b39de9,726a3295019efd88142038b123013623e26a217d2b08df6ad5180caf69ded162
3,18,d11e0b4608537bc4cf260a2af2d5e04f0a1c58219c500811f46f065deaf60cc4,4f2a78f9a162f9c82350f40627ce1062afaefeb4ff34e74e5ab02874fd1d2138
4,24,a93943ad4a16323cd7ffb6efb3f52fe566139304ec6bde82ec9b7b62caa5051d,8010d50edbbcd1974e12cb20fbca3a3abea0088df3070e6265699ba84bd5aa24
5,30,ff6680be8395283839f6cd930d473ff222af176c10249b521a44afdfb37564ff,f7310c919e32e5857cf1252ff2500ef4a264ee8677e4816d067d3018c540bb15
6,36,70b361ffdfc614a2e17b7ffa57f949f0a2ceb84f021ded3409c032b53e7e4b2c,7a7cb253b2f7172299c5c051c489ad90a6599190ef36834fbad74b7cca66ccf0
7,42,53a63724f090a6c20dc82f6c82ede1504f6a1c292dd24f548594e930006bf21e,c3154fb182503f9cfe85e307c429f1c699c366377613c5a11c221dc7f3962de8
8,48,771a23c5dd069e7a49dc3e4dc841f6af99ec6b3715cfee61ca365f27aa1af613,f2094bb718670ded9d4fc39b1f0a96c87bb6455f506b0b8b91fdefa283065b76
9,54,7dc3c9d438862638d3bf094317dad8a914c00a1cb794fd346bb013d8725bb718,d309ec3fbf5e3bfc139326e833cb2da070e7e795ebfeca8a56a58e631ee4ae19
10,60,182671e1c1c704aa4435b776ab7815777a4d67694cbd0d772caa14d55f65825d,5fd6bda401bb8d978facb0427ac687823b5507335ba65063ab9e6c9b2919d415
11,66,2e047136087cf2148412474ab1ec6d74d085d49fbc30dd2303c9c2af8925d991,bbe243dcda4f4e2dda471e3ea647a6f24f246595361b01c6d835934e39496a98
12,72,08eaf4bc191134fcb00493c2033c5623ee18aefec4dcbf87ea085d52b5704650,8149c6697e4410c7b7e70a0514b7c8d7100979527eca0b4baabea5c31e2bdba3
13,78,a345a883c5e3cbed8e59669da283f020500c16aa2c72ef5339733584d1fb628a,71fc3f16d37209d312888d0d31f05c7570b64c643bc2795ec108bbd666e6e3bd
14,84,e0150e8c6c65a3063063acbfd984a5bcf569749fb42c81aab4660b189b30301e,414693efcc0862bc7bbf2aae90a9d922489a0659bcff5cd71064e545e72d288a
15,90,392b8915e2173cfac27fdd761527f5b19be4d2d65ce0dd1a18704a932457e7ba,60fb190558b2702922f07dc650f2c48be0fc4f63c9a25557a4a0bf9fff00e254
16,96,3af71ed2d924ddcffa3833849d701b1c94ca699f41dc772e57650228578918e1,e3a6182ab9b628bce4c330e66a49ef8ad484c772be7c475a0c14b5f4a7a46927
17,102,a1e479c7b399b17795611e49aa97b604060b171fbec43a8f0448e6416ccc9f42,82434b1fa9cd929f68fde4738e9b72accf08cbf473054e2372540b5abbe54817
18,106,a9fd059f9d09aa639c714ac3dd06d76f96e4856666f9b7cb3d0f20a630218e9c,d704cf07a1ce8d3b2a99001dafbb7edac31ede98d11421b58597e13aa318b932
19,112,d53dc5659335d2fb56ae8a1447001b25596ffb6a90ad32a5432b9b9c2ba98f96,d228b5089dbf31671a8224d54c1d5e742a5ecc8bff8cf7f26e5e4100eb8c68f7
20,118,e6e2dd074eee06b13a841e37e8d9b05ae148fe1eb55b547e015d5ab8adf0e910,7d5c754ffbab742a86d6fed2b9153098ef620e481cd1510716f9b58f487f37b8
21,124,dd6425f22ae52007f19e69710bf3b8518f1cbde471947e9e17db22a4a1cc6ee2,985b9026520770ce99df811dcc69a1df90611c267b7cd1f624a95305070d3bd9
