,index,Unnamed: 0,act_no,access_count,SEX_F,SEX_M,age_group,income_group,account_age,LIFESTAGE_1,LIFESTAGE_2,LIFESTAGE_3,LIFESTAGE_4,LIFESTAGE_5,LIFESTAGE_6,LIFESTAGE_7,LIFESTAGE_8,LIFESTAGE_9,LIFESTAGE_10,nh_level,invest_exp_group,HOLDINGS_TYPE_1.0,HOLDINGS_TYPE_2.0,HOLDINGS_TYPE_3.0,HOLDINGS_TYPE_4.0,loyalty,SECTOR_1.0,SECTOR_2.0,SECTOR_3.0,SECTOR_4.0,SECTOR_5.0,SECTOR_6.0,SECTOR_7.0,SECTOR_8.0,SECTOR_9.0,SECTOR_10.0,SECTOR_11.0,SECTOR_12.0,SECTOR_13.0,SECTOR_14.0,SECTOR_15.0,SECTOR_16.0,kr_stock_yn,overseas_stock_yn,risk_tolerance,sophistication,stock_wealth_level,trading_frequency,peak_asset_value,value_weighted_volatility,leverage,TOTAL_DURATION,TOTAL_VIEW_CNT,TOTAL_FOREIGN,TOTAL_ADV,TOTAL_AI,TOTAL_NTP,TOTAL_MAT
0,0,0,0,6,0,1,4,1,6407,0,0,1,0,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,2261986,34.32051117,0,709060,26,0,0,0,0,5283
1,1,1,1,6,0,1,7,1,4728,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,7,2891504,52.0463,0,37564462,517,0,0,0,0,94185
2,3,3,3,4,0,1,6,1,2565,0,0,0,0,0,0,1,0,0,0,5,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,6,110959492,44.7921,0,1434442,16,226,0,0,0,226
3,5,5,6,6,0,1,6,1,1808,0,0,0,0,1,0,0,0,0,0,3,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,358599,21.4687,0,1466871,143,0,0,0,0,85
4,6,6,7,4,0,1,5,1,377,0,0,0,0,1,0,0,0,0,0,4,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,8,319094,20.98391618,0,6210,1,0,0,0,0,0
5,7,7,8,6,1,0,3,1,1700,0,0,0,1,0,0,0,0,0,0,4,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,9,53883552,51.92493817,0,229712,115,0,0,0,0,0
6,8,8,9,6,0,1,1,1,861,0,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,7,1717500,24.57614126,0,1584,1,0,0,0,0,0
7,9,9,10,5,1,0,8,1,823,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,8,13668189,30.78967411,0,2893,1,0,0,0,0,0
8,10,10,11,6,1,0,5,1,809,0,0,0,0,1,0,0,0,0,0,5,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,4,8,105166958,36.5172012,0,276523,31,0,0,0,0,0
9,11,11,12,6,1,0,5,1,641,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,10,21613902,56.61975383,0,22592289,306,60,0,0,0,60
10,12,12,13,6,1,0,4,1,617,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,3166012,23.92116683,0,743204,1,0,0,0,0,0
11,13,13,14,3,0,1,6,1,556,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,2,311120,21.5082,0,8867,1,0,0,0,0,0
12,15,15,16,5,0,1,5,1,358,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,8,13387090,38.62046861,0,241627,60,71217,0,0,0,0
13,16,16,18,6,0,1,8,1,5428,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,9,4059000,81.19746534,0,3070472,321,17984,4007,0,0,52837
