,TOTAL_VIEW_CNT,value_weighted_volatility,peak_asset_value,TOTAL_DURATION,account_age,TOTAL_FOREIGN,TOTAL_MAT,trading_frequency,age_group
0,16.0,44.7921,110959492.0,1434442.0,2565.0,226.0,226.0,6.0,6.0
1,1.0,24.57614126,1717500.0,1584.0,861.0,0.0,0.0,7.0,1.0
2,1.0,23.92116683,3166012.0,743204.0,617.0,0.0,0.0,2.0,4.0
3,2514.0,28.87224029,29120750.0,54237303.0,12338.0,12174.0,172721.0,9.0,9.0
4,2.0,46.00980498,4465101.0,132486.0,2243.0,0.0,0.0,2.0,4.0
5,363.0,29.28601484,4592544.0,13902558.0,766.0,12071642.0,42047.0,7.0,1.0
6,19.0,47.68419375,4464812.0,318101.0,280.0,0.0,0.0,8.0,8.0
7,3.0,25.67907805,1934835.0,5212.0,5383.0,0.0,0.0,3.0,1.0
8,21.0,37.39104558,24457869.0,69287.0,917.0,0.0,274.0,8.0,5.0
9,47.0,85.71154784,28669524.0,109450.0,455.0,250.0,165.0,9.0,6.0
10,11.0,25.7709639,9388192.0,1561149.0,3189.0,0.0,0.0,8.0,5.0
11,405.0,39.29648094,12113793.0,7506447.0,570.0,134.0,0.0,9.0,7.0
12,1.0,54.67529228,16837093.0,112207.0,4994.0,0.0,0.0,6.0,4.0
13,140.0,27.974501,28251233.0,5655619.0,1474.0,0.0,787.0,6.0,3.0
14,1039.0,23.08323464,101403224.0,8829869.0,787.0,245.0,9484.0,11.0,8.0
15,39.0,24.59810689,3481612.0,118470.0,563.0,0.0,0.0,3.0,4.0
16,4.0,39.94991448,5738398.0,271091.0,1114.0,0.0,0.0,8.0,2.0
17,415.0,30.56177641,121621542.0,13754524.0,839.0,17233.0,216386.0,9.0,3.0
18,1.0,27.50505729,2036875.0,3314.0,583.0,0.0,0.0,6.0,5.0
19,40.0,39.47092719,1536176.0,354505.0,394.0,0.0,0.0,8.0,2.0
20,7728.0,32.30958006,76489578.0,178976045.0,916.0,379829.0,283900.0,10.0,4.0
21,46.0,34.92154687,2356114.0,530960.0,672.0,481330.0,0.0,2.0,2.0
22,7.0,32.0118477,1677854.0,165643.0,560.0,0.0,0.0,7.0,2.0
23,603.0,27.79923336,124104193.0,5911581.0,920.0,123.0,49.0,11.0,6.0
24,2280.0,31.21776402,24632151.0,44171696.0,606.0,7613.0,186788.0,9.0,4.0
25,187.0,37.5329645,12359434.0,6314688.0,151.0,213.0,2329.0,1.0,4.0
26,17.0,26.48211266,4640816.0,118472.0,6259.0,0.0,0.0,7.0,7.0
27,275.0,56.6443,926067.0,7606517.0,732.0,3805.0,31023.0,6.0,5.0
28,43.0,32.97295074,58152072.0,915128.0,11526.0,448.0,102.0,8.0,7.0
29,157.0,49.76084943,4509758.0,6646883.0,619.0,0.0,0.0,8.0,3.0
30,59.0,23.42690428,4059997.0,1573605.0,402.0,15022.0,0.0,7.0,2.0
31,1469.0,40.61393865,101160770.0,38088188.0,4883.0,3318.0,81.0,10.0,6.0
32,105.0,22.06771527,6782111.0,373776.0,730.0,23765.0,58.0,9.0,4.0
33,463.0,115.4337187,587908.0,66777460.0,426.0,64054.0,0.0,3.0,5.0
34,43.0,24.97883425,5180891.0,189101.0,906.0,66907.0,0.0,9.0,2.0
35,13.0,60.07591003,3729399.0,332792.0,430.0,0.0,0.0,7.0,1.0
36,263.0,49.99641242,74004941.0,54011910.0,1180.0,372.0,1225.0,6.0,4.0
37,1436.0,35.14856618,49073030.0,33948636.0,563.0,17899878.0,12231.0,8.0,3.0
38,444.0,49.20694478,5600984.0,16660589.0,564.0,2864.0,0.0,9.0,2.0
39,335.0,42.68756312,6292660.0,8314696.0,1052.0,145.0,13.0,8.0,4.0
40,57.0,25.14510225,2276285.0,304525.0,641.0,0.0,120.0,7.0,4.0
41,1036.0,113.1152054,64900238.0,15085814.0,416.0,578.0,0.0,10.0,7.0
42,5.0,22.81874924,9120804.0,68705.0,5306.0,0.0,0.0,7.0,1.0
43,3355.0,35.31689406,27574633.0,50503879.0,535.0,372581.0,24448.0,9.0,5.0
44,7.0,23.29905056,2796298.0,687398.0,652.0,0.0,0.0,7.0,1.0
45,20.0,28.96069051,52887072.0,5903514.0,5945.0,0.0,0.0,7.0,4.0
46,50.0,31.44810865,2344866.0,421796.0,870.0,126.0,0.0,8.0,5.0
47,211.0,17.4004,2372824.0,5421309.0,565.0,3911025.0,2544071.0,1.0,2.0
48,293.0,26.5055278,3855609.0,13805558.0,1578.0,4792.0,34853.0,6.0,4.0
49,52.0,94.1821,14981.0,833815.0,533.0,15889.0,23.0,2.0,5.0
50,45.0,27.35456096,75458677.0,272739.0,967.0,0.0,1124.0,7.0,8.0
51,1.0,69.40198122,1816321.0,108697.0,564.0,0.0,0.0,2.0,9.0
52,523.0,49.39915591,16205436.0,22738894.0,633.0,0.0,41875.0,8.0,4.0
53,4405.0,52.52965586,73031709.0,299489251.0,928.0,5858.0,498166.0,10.0,5.0
54,11.0,27.09963344,4783374.0,33839.0,260.0,1180.0,0.0,8.0,3.0
55,10.0,41.7263,120750.0,149526.0,1306.0,0.0,0.0,2.0,2.0
56,409.0,40.82594564,21807491.0,7218514.0,659.0,0.0,166975.0,10.0,9.0
