,Unnamed: 0,act_no,value_weighted_volatility,leverage
0,0,0.0,34.320511166236614,0.0
1,1,1.0,52.04630000000001,0.0
2,2,2.0,30.76835606936416,0.0
3,3,3.0,44.7921,0.0
4,4,4.0,0.0,0.0
5,5,5.0,33.9059,0.0
6,6,6.0,21.4687,0.0
7,7,7.0,20.983916179424234,0.0
8,8,8.0,51.92493816901519,0.0
9,9,9.0,24.576141255176804,0.0
10,10,10.0,30.789674112487155,0.0
11,11,11.0,36.517201199522255,0.0
12,12,12.0,56.619753834062834,0.0
13,13,13.0,23.921166831351318,0.0
14,14,14.0,21.5082,0.0
15,15,15.0,7.655980672687301,0.0
16,16,16.0,38.620468610199104,0.0
17,17,17.0,0.0,0.0
18,18,18.0,81.19746534021996,0.0
19,19,19.0,28.872240289055643,0.0
20,20,20.0,_,0.0
21,21,21.0,33.80258764998325,0.0
22,22,22.0,47.865754490781654,0.0
23,23,23.0,31.047848114027563,0.0
24,24,24.0,46.00980497644278,0.0
25,25,25.0,27.33681407660952,0.0
26,26,26.0,46.06006264605095,0.0
27,27,27.0,89.72113822232167,0.0
28,28,28.0,29.286014842829555,0.0
29,29,29.0,46.607082150135554,0.0
30,30,30.0,26.371389110994212,0.0
31,31,31.0,31.984080621422738,0.0
32,32,32.0,16.87073810683802,0.0
33,33,33.0,22.667199999999998,0.0
34,34,34.0,77.5485,0.0
35,35,35.0,47.68419375225569,0.0
36,36,36.0,25.705922171376272,0.0
37,37,37.0,24.417740845349186,0.0
38,38,38.0,40.02961522275167,0.0
39,39,39.0,25.679078053067,0.0
40,40,40.0,53.3016665882295,0.0
41,41,41.0,36.97802310089957,0.0
42,42,42.0,21.4687,0.0
43,43,43.0,37.39104558004057,0.0
44,44,44.0,32.03982301146874,0.0
45,45,45.0,41.90921522981367,0.0
46,46,46.0,27.513399999999997,0.0
47,47,47.0,29.09009337934355,0.0
48,48,48.0,4.871735503964424,0.0
49,49,49.0,85.71154784106186,0.0
50,50,50.0,26.59368215529001,0.0
51,51,51.0,_,0.0
52,52,52.0,23.04815933867217,0.0
53,53,53.0,0.0,0.0
54,54,54.0,61.028800000000004,0.0
55,55,55.0,25.574579438137512,0.0
56,56,56.0,21.4687,0.0
57,57,57.0,25.77096390228615,0.0
58,58,58.0,42.57059999999999,0.0
59,59,59.0,23.734418554613363,0.0
60,60,60.0,49.58930000000001,0.0
61,61,61.0,111.1572,0.0
62,62,62.0,22.130470511642898,0.0
63,63,63.0,33.842650626942884,0.0
64,64,64.0,39.296480941705035,0.0
65,65,65.0,0.0,0.0
66,66,66.0,29.5647404975812,0.0
67,67,67.0,0.0,0.0
68,68,68.0,16.144174649980577,0.0
69,69,69.0,25.123886069625883,0.0
70,70,70.0,54.675292279048016,0.0
71,71,71.0,28.95281007277103,0.0
72,72,72.0,39.85257217798558,0.0
73,73,73.0,40.30018871279829,0.0
74,74,74.0,27.974500996959414,0.0
75,75,75.0,65.34653348568617,0.0
76,76,76.0,32.842082811602296,0.0
77,77,77.0,29.649312829127485,0.0
