,Unnamed: 0,act_no,mts_mm_access_type,tot_aet_tld_rnd_202201,tot_aet_tld_rnd_202202,tot_aet_tld_rnd_202203,tot_aet_tld_rnd_202204,tot_aet_tld_rnd_202205,tot_aet_tld_rnd_202206
0,0,5396,111111,79149265.0,78175065.0,76901165.0,79097388.0,78878908.0,69548998
1,1,5397,111111,181738927.0,214858562.0,227882631.0,213982127.0,217057777.0,201002961
2,2,5398,111111,126539704.0,126372021.0,134084769.0,127759778.0,127106209.0,107032645
3,3,5399,111111,26561888.0,26847847.0,26574396.0,26241638.0,26421923.0,24945568
4,4,5400,111111,46208519.0,48755185.0,50423151.0,52743544.0,52804939.0,35299685
5,5,5401,111111,10883422.0,14069694.0,11169644.0,21468719.0,34531635.0,27271798
6,6,5402,101011,1873729.0,1923729.0,1850829.0,1829149.0,2092999.0,1875999
7,7,5403,111111,15757499.0,16143649.0,16610049.0,15720638.0,15928015.0,14133065
8,8,5404,111111,10290473.0,12480233.0,13125379.0,13164334.0,12606465.0,10136800
9,9,5405,111111,19699717.0,20396765.0,21083201.0,19085026.0,18581060.0,20429000
10,10,5406,111111,0.0,0.0,827497.0,827520.0,827520.0,827520
11,11,5407,111111,961530.0,935819.0,946633.0,700731.0,747850.0,685390
12,12,5408,111111,953998.0,976898.0,1066848.0,1016050.0,921033.0,657149
13,13,5409,111001,576216.0,181416.0,131750.0,116856.0,123556.0,97456
14,14,5410,111111,3313099.0,3300514.0,3318411.0,3261660.0,3218692.0,2983011
15,15,5411,110001,953893.0,938293.0,905793.0,881886.0,886579.0,2404319
16,16,5412,111101,491761.0,501609.0,531741.0,333646.0,333246.0,332250
17,17,5413,11111,,5880441.0,5743988.0,5570200.0,5881656.0,8190352
18,18,5414,111111,9794736.0,10476321.0,11084021.0,16048108.0,14394068.0,11975288
19,19,5415,111111,38492119.0,39994581.0,41495310.0,40261904.0,42212287.0,37755483
20,20,5416,111111,178463513.0,192054667.0,188758163.0,167485360.0,166895417.0,159509640
21,21,5417,111111,2411240.0,2378645.0,2575930.0,2514733.0,2427535.0,1883976
22,22,5418,11000,2217750.0,2187600.0,2382000.0,2363521.0,2137133.0,1833993
23,23,5419,111111,7913629.0,7599977.0,8848276.0,7436371.0,7843613.0,6983299
24,24,5420,111111,1872171.0,4193763.0,4298153.0,3259058.0,3190468.0,2700368
25,25,5421,111110,66652947.0,68447324.0,69223491.0,67883291.0,67308400.0,58700069
