,Unnamed: 0,act_no,tot_aet_tld_rnd_202201,tot_aet_tld_rnd_202202,tot_aet_tld_rnd_202203,tot_aet_tld_rnd_202204,tot_aet_tld_rnd_202205,tot_aet_tld_rnd_202206
0,0,0,1996586.0,2119266.0,2261986.0,1707630.0,1626697.0,1381982
1,1,1,2750000.0,2794000.0,2860000.0,2891504.0,2724804.0,2821819
2,2,2,103912.0,124311.0,27100.0,31951.0,28151.0,24151
3,3,3,107800473.0,107800473.0,107800473.0,108231632.0,93926742.0,110959492
4,4,4,0.0,15000.0,15000.0,15000.0,20000.0,20000
5,5,5,24944299.0,25579579.0,31508859.0,29655966.0,25235476.0,20126766
6,6,6,340560.0,340560.0,340560.0,358599.0,340560.0,341154
7,7,7,138603.0,85243.0,150964.0,152944.0,145894.0,319094
8,8,8,52134685.0,50250804.0,53883552.0,47355041.0,46360172.0,37000685
9,9,9,1663000.0,1675000.0,1717500.0,1538643.0,1546753.0,1302353
10,10,10,13449388.0,13535186.0,13668189.0,12972066.0,13288609.0,11865388
11,11,11,93494425.0,100367661.0,105166958.0,102489465.0,99040679.0,83112764
12,12,12,20929286.0,20779955.0,20954605.0,21613902.0,19458030.0,14596887
13,13,13,3166012.0,2674762.0,1745762.0,1696872.0,1749982.0,1458982
14,14,14,165000.0,172800.0,300500.0,308120.0,311120.0,263620
15,15,15,9475.0,60088.0,81386.0,32334.0,31158.0,26386
16,16,16,10330052.0,13265837.0,13387090.0,11427967.0,11153517.0,9462406
17,17,17,,,0.0,0.0,0.0,400
18,18,18,0.0,4059000.0,0.0,179.0,179.0,0
19,19,19,23871505.0,23364255.0,25590555.0,29120750.0,27092344.0,27204284
20,20,20,0.0,0.0,0.0,0.0,0.0,0
21,21,21,680057.0,684107.0,697857.0,751704.0,691129.0,590079
22,22,22,10809169.0,10938769.0,3002666.0,3254934.0,3174734.0,3040934
23,23,23,116768596.0,113834134.0,115890004.0,118014909.0,119950886.0,104533997
24,24,24,4408611.0,4445626.0,4465101.0,4373254.0,4384406.0,4292291
25,25,25,1825572.0,1391675.0,1169523.0,1050090.0,1053530.0,1458198
26,26,26,0.0,0.0,0.0,328638.0,82.0,82
27,27,27,1062634.0,1020584.0,1232634.0,948440.0,2066346.0,2168811
28,28,28,4494276.0,4592544.0,3833059.0,2504824.0,2906407.0,2152918
29,29,29,46285244.0,36782403.0,36971063.0,34243190.0,33924018.0,30251608
30,30,30,2784586.0,2886786.0,3007886.0,2736490.0,2674311.0,2244511
31,31,31,460908.0,471844.0,473286.0,451604.0,464955.0,417497
32,32,32,236044.0,252990.0,291046.0,306006.0,286686.0,278880
33,33,33,719053.0,789253.0,774403.0,786650.0,793400.0,771800
34,34,34,4183.0,4196.0,4112.0,3411.0,3120.0,2689
35,35,35,4038312.0,4369312.0,4464812.0,3885862.0,4307362.0,3876362
36,36,36,,,503450.0,461500.0,453144.0,381344
37,37,37,9363432.0,9174884.0,9058859.0,9067202.0,9004270.0,7861764
38,38,38,45703900.0,46772360.0,57259410.0,56694618.0,55651058.0,50857288
39,39,39,1934835.0,1877208.0,1834087.0,1588377.0,1579810.0,1358536
40,40,40,24707327.0,25679767.0,24855060.0,23009954.0,22699059.0,20938819
41,41,41,14721080.0,15746269.0,19708998.0,23305103.0,23198344.0,20038694
42,42,42,1576851.0,1551679.0,1499208.0,1809589.0,1816342.0,1598304
43,43,43,22613742.0,23294582.0,24126082.0,24457869.0,23311897.0,22627647
44,44,44,141500.0,175150.0,196650.0,207300.0,175700.0,174700
45,45,45,1206401.0,1232160.0,1206300.0,1269592.0,1214215.0,1183800
46,46,46,303245.0,309845.0,337445.0,320982.0,313482.0,301782
47,47,47,94200.0,114000.0,131550.0,135905.0,346835.0,343800
48,48,48,1009816.0,95889711.0,1014730.0,1060043.0,1049493.0,1210269
49,49,49,28669524.0,3861.0,4238.0,2871.0,2583.0,2341
50,50,50,5890752.0,6060797.0,6058671.0,6045246.0,7222908.0,6464099
51,51,51,35280.0,35787.0,39750.0,35424.0,35267.0,32412
52,52,52,714787.0,707811.0,679838.0,653989.0,664632.0,569182
53,53,53,,0.0,15000.0,15000.0,15000.0,50250
54,54,54,1723210.0,1800010.0,1785610.0,1728010.0,1852810.0,1548965
55,55,55,1153819.0,1282719.0,1352669.0,1337694.0,1279127.0,1104127
56,56,56,304194.0,293711.0,988409.0,966750.0,970740.0,1866738
57,57,57,9388192.0,9276668.0,9314612.0,8995526.0,9041052.0,7913042
