,Unnamed: 0.1,Unnamed: 0,act_no,MAX_ASSET_VALUE
0,0,0,0,2261986.0
1,1,1,1,2891504.0
2,2,2,2,124311.0
3,3,3,3,110959492.0
4,4,4,4,20000.0
5,5,5,5,31508859.0
6,6,6,6,358599.0
7,7,7,7,319094.0
8,8,8,8,53883552.0
9,9,9,9,1717500.0
10,10,10,10,13668189.0
11,11,11,11,105166958.0
12,12,12,12,21613902.0
13,13,13,13,3166012.0
14,14,14,14,311120.0
15,15,15,15,81386.0
16,16,16,16,13387090.0
17,17,17,17,400.0
18,18,18,18,4059000.0
19,19,19,19,29120750.0
20,20,20,20,0.0
21,21,21,21,751704.0
22,22,22,22,10938769.0
23,23,23,23,119950886.0
24,24,24,24,4465101.0
25,25,25,25,1825572.0
26,26,26,26,328638.0
27,27,27,27,2168811.0
28,28,28,28,4592544.0
29,29,29,29,46285244.0
30,30,30,30,3007886.0
31,31,31,31,473286.0
32,32,32,32,306006.0
33,33,33,33,793400.0
34,34,34,34,4196.0
35,35,35,35,4464812.0
36,36,36,36,503450.0
37,37,37,37,9363432.0
38,38,38,38,57259410.0
39,39,39,39,1934835.0
40,40,40,40,25679767.0
41,41,41,41,23305103.0
42,42,42,42,1816342.0
43,43,43,43,24457869.0
44,44,44,44,207300.0
45,45,45,45,1269592.0
46,46,46,46,337445.0
47,47,47,47,346835.0
48,48,48,48,95889711.0
49,49,49,49,28669524.0
50,50,50,50,7222908.0
51,51,51,51,39750.0
52,52,52,52,714787.0
53,53,53,53,50250.0
54,54,54,54,1852810.0
55,55,55,55,1352669.0
56,56,56,56,1866738.0
57,57,57,57,9388192.0
58,58,58,58,2825800.0
59,59,59,59,987866.0
60,60,60,60,4576418.0
61,61,61,61,961061.0
62,62,62,62,3011902.0
63,63,63,63,6335105.0
64,64,64,64,12113793.0
65,65,65,65,120762.0
66,66,66,66,944245.0
67,67,67,67,17946.0
68,68,68,68,114842.0
69,69,69,69,4097292.0
70,70,70,70,16837093.0
71,71,71,71,16668908.0
72,72,72,72,4642403.0
73,73,73,73,13233013.0
74,74,74,74,28251233.0
75,75,75,75,2743240.0
76,76,76,76,637723.0
77,77,77,77,3577898.0
78,78,78,78,101403224.0
79,79,79,79,213948.0
80,80,80,80,15000.0
81,81,81,81,12264262.0
82,82,82,82,7715370.0
83,83,83,83,14807747.0
84,84,84,84,3481612.0
85,85,85,85,9491.0
86,86,86,86,3319.0
87,87,87,87,25040.0
88,88,88,88,2468681.0
89,89,89,89,5738398.0
90,90,90,90,6517244.0
91,91,91,91,9091347.0
92,92,92,92,2149619.0
93,93,93,93,121621542.0
94,94,94,94,3014850.0
95,95,95,95,45205020.0
96,96,96,96,107805.0
97,97,97,97,3371268.0
98,98,98,98,2036875.0
99,99,99,99,8749081.0
100,100,100,100,568317.0
101,101,101,101,71154.0
102,102,102,102,67076.0
103,103,103,103,1536176.0
104,104,104,104,2696940.0
105,105,105,105,195213.0
106,106,106,106,15963450.0
107,107,107,107,9596259.0
108,108,108,108,76489578.0
109,109,109,109,9289316.0
110,110,110,110,61518836.0
111,111,111,111,230594.0
112,112,112,112,1358733.0
113,113,113,113,2356114.0
114,114,114,114,2266880.0
115,115,115,115,2138261.0
116,116,116,116,2231222.0
117,117,117,117,1677854.0
118,118,118,118,7071.0
119,119,119,119,25172.0
120,120,120,120,10000.0
121,121,121,121,11952103.0
122,122,122,122,1021983.0
123,123,123,123,13815560.0
124,124,124,124,30428437.0
125,125,125,125,55509985.0
126,126,126,126,16176310.0
127,127,127,127,124104193.0
128,128,128,128,10882648.0
129,129,129,129,6429383.0
130,130,130,130,270033.0
131,131,131,131,9047667.0
132,132,132,132,24632151.0
133,133,133,133,10327466.0
134,134,134,134,40783241.0
135,135,135,135,188106.0
136,136,136,136,12359434.0
137,137,137,137,178669931.0
138,138,138,138,122306352.0
139,139,139,139,51144551.0
140,140,140,140,57973199.0
141,141,141,141,184287296.0
142,142,142,142,4640816.0
143,143,143,143,34681468.0
144,144,144,144,2389737.0
145,145,145,145,2126793.0
146,146,146,146,36124942.0
147,147,147,147,926067.0
148,148,148,148,1559732.0
149,149,149,149,784669.0
150,150,150,150,5000.0
151,151,151,151,24785.0
152,152,152,152,207836.0
153,153,153,153,3000000.0
154,154,154,154,122154.0
155,155,155,155,58152072.0
156,156,156,156,121767011.0
157,157,157,157,23470484.0
158,158,158,158,3024321.0
159,159,159,159,1890000.0
160,160,160,160,4509758.0
161,161,161,161,12060887.0
162,162,162,162,413904.0
163,163,163,163,22926485.0
164,164,164,164,1639456.0
165,165,165,165,4059997.0
166,166,166,166,12329379.0
167,167,167,167,847937.0
168,168,168,168,3484761.0
169,169,169,169,68047428.0
170,170,170,170,38080887.0
171,171,171,171,101160770.0
172,172,172,172,5005001.0
173,173,173,173,2462914.0
174,174,174,174,210686.0
175,175,175,175,9207181.0
176,176,176,176,23839625.0
177,177,177,177,6405846.0
178,178,178,178,6782111.0
179,179,179,179,111368.0
180,180,180,180,15441417.0
181,181,181,181,283500.0
182,182,182,182,19068639.0
183,183,183,183,587908.0
184,184,184,184,26050.0
185,185,185,185,17328981.0
186,186,186,186,207749107.0
187,187,187,187,181692.0
188,188,188,188,53821508.0
189,189,189,189,6755100.0
190,190,190,190,50000.0
191,191,191,191,5180891.0
192,192,192,192,23940098.0
193,193,193,193,43650545.0
194,194,194,194,363104.0
195,195,195,195,7640050.0
196,196,196,196,3729399.0
197,197,197,197,28160.0
198,198,198,198,968531.0
199,199,199,199,20322420.0
200,200,200,200,81498348.0
201,201,201,201,3425630.0
202,202,202,202,74004941.0
203,203,203,203,660508.0
204,204,204,204,28793346.0
205,205,205,205,37137811.0
206,206,206,206,49073030.0
207,207,207,207,385679.0
208,208,208,208,2065377.0
209,209,209,209,45278148.0
210,210,210,210,18293942.0
211,211,211,211,2007205.0
212,212,212,212,5600984.0
213,213,213,213,534161.0
214,214,214,214,4625.0
215,215,215,215,34778396.0
216,216,216,216,33091326.0
217,217,217,217,6292660.0
218,218,218,218,21717251.0
219,219,219,219,17842062.0
220,220,220,220,1860094.0
221,221,221,221,4016880.0
222,222,222,222,2276285.0
223,223,223,223,4380321.0
224,224,224,224,16912162.0
225,225,225,225,642180.0
226,226,226,226,6449901.0
227,227,227,227,64900238.0
228,228,228,228,3945419.0
229,229,229,229,1100150.0
230,230,230,230,18173028.0
231,231,231,231,9120804.0
232,232,232,232,60938528.0
233,233,233,233,19530889.0
234,234,234,234,31149381.0
235,235,235,235,27574633.0
236,236,236,236,10985830.0
237,237,237,237,147125059.0
238,238,238,238,9827201.0
239,239,239,239,2796298.0
240,240,240,240,12151751.0
241,241,241,241,302147.0
242,242,242,242,664927.0
243,243,243,243,9262015.0
244,244,244,244,52887072.0
245,245,245,245,3193.0
246,246,246,246,2286487.0
247,247,247,247,177600.0
248,248,248,248,280837.0
249,249,249,249,913137.0
250,250,250,250,7776545.0
251,251,251,251,2344866.0
252,252,252,252,12370796.0
253,253,253,253,137489277.0
254,254,254,254,643391.0
255,255,255,255,10000.0
256,256,256,256,2372824.0
257,257,257,257,5252559.0
258,258,258,258,25658.0
259,259,259,259,372739.0
260,260,260,260,4537654.0
261,261,261,261,5000.0
262,262,262,262,2896687.0
263,263,263,263,74843011.0
264,264,264,264,5250573.0
265,265,265,265,3855609.0
266,266,266,266,25636079.0
267,267,267,267,49619758.0
268,268,268,268,1018305.0
269,269,269,269,11574686.0
270,270,270,270,3805104.0
271,271,271,271,14981.0
272,272,272,272,9566.0
273,273,273,273,2349.0
274,274,274,274,21369254.0
275,275,275,275,30458947.0
276,276,276,276,121228458.0
277,277,277,277,75458677.0
278,278,278,278,15197692.0
279,279,279,279,18544616.0
280,280,280,280,14146970.0
281,281,281,281,13958511.0
282,282,282,282,778720.0
283,283,283,283,330159.0
284,284,284,284,1816321.0
