cus_no,act_no,mts_mm_access_type,tot_aet_tld_rnd_202201,tot_aet_tld_rnd_202202,tot_aet_tld_rnd_202203,tot_aet_tld_rnd_202204,tot_aet_tld_rnd_202205,tot_aet_tld_rnd_202206
22590ae2f019dd886c779e249047d2c05e3cd1fc6c3cf46f4fc6ef6e6defef87,8c51564aca81cd086b76143943825d8f296d419f93b458b53ecc348a1edfb99b,111111,79149265.0,78175065.0,76901165.0,79097388.0,78878908.0,69548998.0
c4450757e48774dc4bf43e3bef2dfc5f9c4c1cb6e3bc4773208db63565400e3d,c7c549edd4422be959afb565046d9a37b00eb248a53790066ad863e56b0869ac,111111,181738927.0,214858562.0,227882631.0,213982127.0,217057777.0,201002961.0
3ad3a5c52a69c92f012b69b071d2a7f70e5ec4a61a5d9063aee0603d5e0f4578,5871c883fe2aed0e614e8fa6551c618fb1acc4a8dcc650936677704516d9dd3a,111111,126539704.0,126372021.0,134084769.0,127759778.0,127106209.0,107032645.0
e382b423c8e0f4cbcebc7bf16682f7a8325b9ec82aa74a5a63e6e51b379b62d1,6f6c7509c7575b362afc00cca032c483f9a2deb3ac861a3fa5a6a27078302f77,111111,26561888.0,26847847.0,26574396.0,26241638.0,26421923.0,24945568.0
4dd4c2c2b2e65976a3022ac62eac374f252ff15bf1a3a11d6763891dfc6d82f0,fb0b1e5c3c21f281d103d100195e61a2071492014e5a4727423979f04db2a220,111111,46208519.0,48755185.0,50423151.0,52743544.0,52804939.0,35299685.0
a29e396afde853fb8b46703b6ba472a1cc8b4ce74f96f41769fb472a25579387,e2840245b8012ebba59e4bd988d4cac617f6a431059581e55c3b785fbebccb94,111111,10883422.0,14069694.0,11169644.0,21468719.0,34531635.0,27271798.0
0358663841d3cdf30afb0d6b0e0b2448f3612e192dce236841134b4abbf2002b,e61b4650e8390b23b0f80024956d75344cfbf11fdbf8d2e98f84b153688d634a,101011,1873729.0,1923729.0,1850829.0,1829149.0,2092999.0,1875999.0
3b3d76a11f38eab4f83685b879e6304fd0e32a1ee9ae65fd329fc46da081f7a5,18a665efec1c1631e888e201ed24602cbf04f0cd722bed4465d9a307b81840a2,111111,15757499.0,16143649.0,16610049.0,15720638.0,15928015.0,14133065.0
5717aafd2edba2aef6ed7be741fd48213472f13b2cbd317742fb5314f563ba07,70a74508a7313cc8d362f1469bf391e9e3a37acc4eb9094d08222be9bb62ea56,111111,10290473.0,12480233.0,13125379.0,13164334.0,12606465.0,10136800.0
d475dda97dda7d3a58b020f11bfb2ee20bcca9a038d22a3228af8fa79cac416a,39e06b258fb0526fd0842a3695cc5176426caa8538861bcbda2d350c923b864a,111111,19699717.0,20396765.0,21083201.0,19085026.0,18581060.0,20429000.0
b6d7d0d67faf0c63e52a8b91ee5b612acd9936c422122e4a4310e96468f669ea,1ee33341039c707204456cfc5005089a82a0147f325cd023c49ee6161be70f66,111111,0.0,0.0,827497.0,827520.0,827520.0,827520.0
5f7e580eea2382c3849bc613d4b661558567197270be32fe750c01d49cf6d842,3fb4fdc4929b638342d7a675dc3aa4d408242f81ba3f9adb6caf41a13cdc5871,111111,961530.0,935819.0,946633.0,700731.0,747850.0,685390.0
d73ca498061905586bfbc93b2f0bf0e41813a5c03ace0ff396520f2656f4672a,68abf11eaee1dbdf91eb47063f58421d3d5601d9a31cd360f40ca0a69d7e58d6,111111,953998.0,976898.0,1066848.0,1016050.0,921033.0,657149.0
8a842a6a80fc7d2858ffba237a99e9dae11d430328f735d23acc6e3d1ac57d4d,ad7f6d2551ec8ae11c178f27b875dc6bd2ef8096fc2131776ae7fb1039f3bd2e,111001,576216.0,181416.0,131750.0,116856.0,123556.0,97456.0
06bdc1f2c93705786ded04371bce8c911784442bad973c3951d605072d6d3eef,4f04e2b75bd13e87a57cf5d628ebca1cc1e48163ae4d1513a309081ee2a2a69e,111111,3313099.0,3300514.0,3318411.0,3261660.0,3218692.0,2983011.0
472f9763c6ebc59be379572886a9a9935bbdef8b0ec3edbc70aa7088846ad886,0b6e8001a238cffecabc2c3f9c7c21f9f90a166ed2b644e965a2e6c318272bc1,110001,953893.0,938293.0,905793.0,881886.0,886579.0,2404319.0
ceb7c63ea69146e5b8c8f1d5b446ad694ba6a555eb8592fdc3689e91573edc1e,c0dd91078bf1d4bd352384c7eb6a000feec184889836ebede1ece04bd3ccdf4a,111101,491761.0,501609.0,531741.0,333646.0,333246.0,332250.0
6b8e6ed7dbe835e1d75e71075b5a549715ffd91fc4d839f59b3fdeee7351fe7f,2d84f4acacd5cefd62ee11d7c7fd44a50e3cbd5196b8a2981ef572129955997a,011111,,5880441.0,5743988.0,5570200.0,5881656.0,8190352.0
2b2761ee1443592864ef29e72a94c2fda3b6963992c71d1fae3d8fb442fa1f5e,0c2485870353ec200e8d527c0730361b8288723916aa921af4163579203b4377,111111,9794736.0,10476321.0,11084021.0,16048108.0,14394068.0,11975288.0
92be2d688e67b37d347a22e320e88b7dc6b4ddb5e924ad8602f516dc1379d0d9,cc69a0009dd9c84eb0c19cee92a555d0c08e7cf4dd9a193e1937a39c425a5107,111111,38492119.0,39994581.0,41495310.0,40261904.0,42212287.0,37755483.0
1e5e352e8abfe08f99cef58e5eeb244e210ecf6120d9f5589d061288690df4e2,8239f665e77dde8bce78c0d732661a84906157c2846805f09c2e4fa0e4bbc58f,111111,178463513.0,192054667.0,188758163.0,167485360.0,166895417.0,159509640.0
7f728d8de76a63f0771d944dad2c84b08f37c5f8918381c4cfd1a3430b5fa426,c17c31828cfc4887f5165effb66155b602e0c6286e1c5a151ffd0be58462d3c6,111111,2411240.0,2378645.0,2575930.0,2514733.0,2427535.0,1883976.0
1eb11e693d532db5d76757929e13662b6157502a7e0775a86f76ad2730ce5dc2,f30b5b9009078c0f9ed4ee67faebe0f690e69854fd93c53309575bd54f0d54df,011000,2217750.0,2187600.0,2382000.0,2363521.0,2137133.0,1833993.0
53ce463eb63033340cd986dc89d59713b410c981265c23df7d170ab40d89cfae,618b321eff4152576eb414ecc988f0b42807904875a82a1cbbdc33b57ef07853,111111,7913629.0,7599977.0,8848276.0,7436371.0,7843613.0,6983299.0
0e157d750c60b73eb50f046b294648f00a1982f82b8a454fc590ca12e66fe71a,90f8b42fb0ac81f7822fe18d882eeef8e659000722c1c298da55a2048178fa0a,111111,1872171.0,4193763.0,4298153.0,3259058.0,3190468.0,2700368.0
2158b5fb22d4cead1a25640c04d7c4a90866d697f978a6a35ea9d8edf6667583,04f6b7a0015bc5530436b0ae2358b747e1e0b2af17c8005659b1bf231a0a491b,111110,66652947.0,68447324.0,69223491.0,67883291.0,67308400.0,58700069.0
0053443eb1201668f0da5c4c192943bfc3584165b40efdf3b7cfe5c50114ec33,d15c5074ef97e20a88cec7747fb6f9f982b913cbdc1bef20fcf80209e33c776c,110110,990127.0,1037507.0,1093617.0,1125331.0,1104956.0,935376.0
62264433c678d89c9822ff51a0a4a42e3cdf3df128c0793ced02e5c14ad59e33,dbb65c96315c3f8103bd1815cd364f5c1b2575b2bb17eba17d7232e8d86c42f4,111111,4149357.0,4481057.0,5180803.0,5291672.0,13682460.0,10738803.0
dab043309bb5c2399816c35f341796ae199aa93d4ee12bed238754cac6ad2eda,2fa8d0e796c412c6f97535845081d0a5c9493c8db6f56fc51d7a06232b932935,111110,3259148.0,3177350.0,3168650.0,3158975.0,3194618.0,2883868.0
3d17b490d169c6bb6a6fd71f217c48419fe7ab7128d67dfeefc827b23814c8dd,b64405d8cae85894e657c41af4b0b1494dfab07767cba6d6e4405981603ccc99,111100,2730200.0,2803200.0,2839700.0,2230150.0,2259350.0,1795800.0
b11fa4a32cf02a5cb66c1af1e0e985aa32374b1603bd5aa3bfb9a2718cab27d3,e7708d6088ca4643f85dba742efced0caa05aa1cbca19d60189483d01a5fe7f3,100001,24858.0,25458.0,28548.0,27981.0,27741.0,23061.0
