,Unnamed: 0,act_no,orr_dt,orr_ord,orr_rtn_hur,lst_cns_hur,iem_cd,sby_dit_cd,cns_qty,orr_pr,orr_mdi_dit_cd,cur_cd,trd_cur_xcg_rt
0,0,acc_9752,20220303,1,23,23,US5494981039,2,1,24.21,3,USD,1205.0
1,1,acc_9752,20220324,1,22,22,US5494981039,1,1,26.0312,3,USD,1212.7
2,2,acc_9752,20220401,2,1,1,US5494981039,2,9,24.51,3,USD,1210.7
3,3,acc_9752,20220401,1,1,1,US5494981039,2,2,24.46,3,USD,1210.7
4,4,acc_9752,20220503,1,22,22,US5494981039,1,11,19.06,3,USD,1265.8
5,5,acc_9211,20220107,1,23,23,US46222L1089,2,30,14.84,3,USD,1199.6
6,6,acc_2980,20220105,1,23,23,IL0010830961,1,1708,0.532862,3,USD,1194.3
7,7,acc_2980,20220105,2,23,23,US23786R2013,2,202,4.4893,3,USD,1194.3
8,8,acc_2980,20220118,4,0,0,US10802T1051,2,1728,0.32,3,USD,1192.3
9,9,acc_2980,20220118,20,0,0,US23816M1071,2,979,2.7695,3,USD,1192.3
10,10,acc_2980,20220118,21,0,0,US23816M1071,1,979,2.8008,3,USD,1192.3
11,11,acc_2980,20220118,22,0,0,US10802T1051,2,7609,0.357797,3,USD,1192.3
12,12,acc_2980,20220118,23,1,1,US10802T1051,1,392,0.343712,3,USD,1192.3
13,13,acc_2980,20220118,24,1,1,US10802T1051,1,600,0.343712,3,USD,1192.3
14,14,acc_2980,20220118,25,1,1,US10802T1051,1,500,0.343712,3,USD,1192.3
15,15,acc_2980,20220118,26,1,1,US10802T1051,1,3657,0.343712,3,USD,1192.3
16,16,acc_2980,20220118,27,1,1,US10802T1051,1,2000,0.343712,3,USD,1192.3
17,17,acc_2980,20220118,28,1,1,US10802T1051,1,360,0.343712,3,USD,1192.3
18,18,acc_2980,20220118,29,1,1,US10802T1051,1,100,0.343712,3,USD,1192.3
19,19,acc_2980,20220118,30,1,1,US98741L1017,2,79,33.0,3,USD,1192.3
20,20,acc_2980,20220118,31,1,1,US98741L1017,1,79,29.0003,3,USD,1192.3
21,21,acc_2980,20220118,18,0,0,US9273301005,2,528,5.3493,3,USD,1192.3
