,act_no,orr_dt,orr_ord,orr_rtn_hur,lst_cns_hur,iem_cd,sby_dit_cd,cns_qty,orr_pr,orr_mdi_dit_cd,trd_cur_xcg_rt,FX_AUD,FX_CNY,FX_EUR,FX_GBP,FX_HKD,FX_JPY,FX_USD,FX_VND
0,16,20220103,1,19,23,US5494981039,2,10,37.99,3,1185.5,0,0,0,0,0,0,1,0
1,16,20220106,1,20,23,US5494981039,2,22,35.99,3,1198.2,0,0,0,0,0,0,1,0
2,16,20220124,4,21,22,US5494981039,2,13,35.9,3,1193.6,0,0,0,0,0,0,1,0
3,16,20220124,2,21,21,US0378331005,2,2,161.12,3,1193.6,0,0,0,0,0,0,1,0
4,16,20220124,1,20,21,US67066G1040,2,3,228.5,3,1193.6,0,0,0,0,0,0,1,0
5,16,20220124,5,21,23,US5494981039,2,13,35.1,3,1193.6,0,0,0,0,0,0,1,0
6,16,20220124,3,21,0,US0378331005,2,3,158.5,3,1193.6,0,0,0,0,0,0,1,0
7,16,20220201,1,22,7,US67066G1040,1,3,260.0,3,1202.4,0,0,0,0,0,0,1,0
8,16,20220204,1,17,23,US5494981039,2,28,26.9,3,1205.4,0,0,0,0,0,0,1,0
9,16,20220322,2,1,1,US30052F1003,2,77,11.18,3,1213.7,0,0,0,0,0,0,1,0
10,16,20220322,1,1,1,US0378331005,1,5,168.8,3,1213.7,0,0,0,0,0,0,1,0
11,16,20220324,1,0,1,US30052F1003,1,77,12.8,3,1212.7,0,0,0,0,0,0,1,0
12,16,20220325,1,23,23,US30052F1003,2,78,12.57,3,1219.4,0,0,0,0,0,0,1,0
13,23,20220616,1,22,22,US0378331005,2,1,132.0,3,1291.3,0,0,0,0,0,0,1,0
14,25,20220104,2,23,23,LR0008862868,1,5,82.23,3,1190.8,0,0,0,0,0,0,1,0
15,25,20220104,1,4,4,US22266T1097,2,5,26.5,3,1190.8,0,0,0,0,0,0,1,0
16,28,20220110,1,21,21,US25459W5572,1,5,9.01,3,1202.4,0,0,0,0,0,0,1,0
17,28,20220110,2,21,21,US0636798235,1,10,71.57,3,1202.4,0,0,0,0,0,0,1,0
18,28,20220111,3,21,21,US25460G8490,1,20,59.75,3,1200.0,0,0,0,0,0,0,1,0
19,28,20220111,1,0,0,US4581401001,2,20,55.0,3,1200.0,0,0,0,0,0,0,1,0
20,28,20220111,4,21,21,US25460G8490,1,29,59.57,3,1200.0,0,0,0,0,0,0,1,0
21,28,20220111,5,21,21,US0636798235,1,8,70.53,3,1200.0,0,0,0,0,0,0,1,0
22,28,20220111,2,6,6,US25460G8490,2,20,59.45,3,1200.0,0,0,0,0,0,0,1,0
23,28,20220112,1,0,0,US8552441094,2,10,104.15,3,1195.2,0,0,0,0,0,0,1,0
24,28,20220113,1,6,7,US25460G8490,2,8,58.55,3,1189.9,0,0,0,0,0,0,1,0
25,28,20220114,1,0,0,US0636798235,2,6,69.82,3,1188.2,0,0,0,0,0,0,1,0
26,28,20220118,3,20,20,US8552441094,1,2,98.86,3,1192.3,0,0,0,0,0,0,1,0
27,28,20220118,2,18,18,US0636798235,2,7,70.0,3,1192.3,0,0,0,0,0,0,1,0
28,28,20220118,1,18,18,US8552441094,1,5,98.71,3,1192.3,0,0,0,0,0,0,1,0
29,28,20220118,9,23,23,US25460G8490,1,28,62.58,3,1192.3,0,0,0,0,0,0,1,0
30,28,20220118,12,23,23,US4581401001,1,20,55.4402,3,1192.3,0,0,0,0,0,0,1,0
31,28,20220118,10,23,23,US0636798235,2,15,66.3629,3,1192.3,0,0,0,0,0,0,1,0
32,28,20220118,7,21,21,US0636798235,2,3,69.56,3,1192.3,0,0,0,0,0,0,1,0
33,28,20220118,8,21,21,US0636798235,2,2,69.56,3,1192.3,0,0,0,0,0,0,1,0
34,28,20220118,11,23,23,US0636798235,2,11,66.0,3,1192.3,0,0,0,0,0,0,1,0
35,28,20220118,13,23,23,US0636798235,2,17,66.2682,3,1192.3,0,0,0,0,0,0,1,0
36,28,20220118,6,20,20,US8552441094,1,1,98.8,3,1192.3,0,0,0,0,0,0,1,0
37,28,20220118,5,20,20,US8552441094,1,2,98.75,3,1192.3,0,0,0,0,0,0,1,0
38,28,20220118,4,20,20,US0636798235,2,2,69.9,3,1192.3,0,0,0,0,0,0,1,0
39,28,20220202,1,0,0,US0636798235,2,4,61.8999,3,1202.4,0,0,0,0,0,0,1,0
40,28,20220207,1,23,23,US25459W4583,2,1,44.6099,3,1199.5,0,0,0,0,0,0,1,0
41,28,20220208,1,21,21,US25459W4583,1,1,42.56,3,1199.4,0,0,0,0,0,0,1,0
42,28,20220210,2,8,8,US0636798235,1,1,68.0,3,1196.0,0,0,0,0,0,0,1,0
43,28,20220210,1,8,8,US0636798235,1,19,68.0,3,1196.0,0,0,0,0,0,0,1,0
44,28,20220211,2,23,23,US0636798235,2,11,66.7,3,1196.0,0,0,0,0,0,0,1,0
45,28,20220211,1,23,23,US0636798235,2,10,66.83,3,1196.0,0,0,0,0,0,0,1,0
46,50,20220111,1,23,23,US4581401001,2,18,54.8,3,1200.0,0,0,0,0,0,0,1,0
47,50,20220113,1,23,23,US7170811035,2,18,55.6,3,1189.9,0,0,0,0,0,0,1,0
48,50,20220124,1,23,1,US00206R1023,2,36,25.9,3,1193.6,0,0,0,0,0,0,1,0
49,50,20220125,2,23,2,US00206R1023,1,30,26.26,3,1194.2,0,0,0,0,0,0,1,0
50,50,20220125,1,23,23,US7170811035,1,15,51.55,3,1194.2,0,0,0,0,0,0,1,0
51,50,20220126,1,23,23,US4581401001,1,15,51.86,3,1197.8,0,0,0,0,0,0,1,0
52,50,20220208,1,23,0,US7170811035,2,20,49.8,3,1199.4,0,0,0,0,0,0,1,0
53,50,20220218,1,23,0,US4581401001,2,20,44.8,3,1197.1,0,0,0,0,0,0,1,0
54,50,20220224,1,23,23,US4581401001,1,20,43.86,3,1192.1,0,0,0,0,0,0,1,0
55,50,20220224,3,23,23,US00206R1023,1,3,23.0,3,1192.1,0,0,0,0,0,0,1,0
56,50,20220224,2,23,23,US7170811035,1,20,45.87,3,1192.1,0,0,0,0,0,0,1,0
57,67,20220211,1,23,0,US54405Q1004,1,1,3.12,3,1196.0,0,0,0,0,0,0,1,0
58,79,20220621,1,0,0,US4448632038,1,57,2.2711,3,1291.7,0,0,0,0,0,0,1,0
59,81,20220124,1,0,0,US78462F1030,2,1,427.72,3,1193.6,0,0,0,0,0,0,1,0
60,99,20220119,1,2,3,US13803R1023,2,121,6.1,3,1188.9,0,0,0,0,0,0,1,0
61,99,20220127,1,0,1,US13803R1023,2,100,5.5,3,1197.0,0,0,0,0,0,0,1,0
62,99,20220421,3,1,1,US13803R1023,2,34,4.81,3,1237.1,0,0,0,0,0,0,1,0
63,99,20220421,1,1,1,US13803R1023,2,3,4.81,3,1237.1,0,0,0,0,0,0,1,0
64,99,20220421,2,1,1,US13803R1023,2,15,4.81,3,1237.1,0,0,0,0,0,0,1,0
65,112,20220523,1,20,22,US74347X8314,2,2,27.34,3,1269.5,0,0,0,0,0,0,1,0
66,112,20220524,1,22,22,US74347X8314,2,1,26.97,3,1267.7,0,0,0,0,0,0,1,0
67,112,20220526,1,22,22,US74347X8314,1,3,29.2306,3,1263.3,0,0,0,0,0,0,1,0
68,112,20220602,1,18,22,US74347X8314,2,3,32.28,3,1238.4,0,0,0,0,0,0,1,0
69,112,20220608,2,21,21,US59516C1062,1,2,4.24,3,1257.1,0,0,0,0,0,0,1,0
70,112,20220608,1,18,20,US74347X8314,1,3,33.33,3,1257.1,0,0,0,0,0,0,1,0
71,113,20220107,1,3,3,US30303M1027,1,1,334.48,3,1199.6,0,0,0,0,0,0,1,0
72,113,20220110,1,23,23,US4525211078,1,1,5.1908,3,1202.4,0,0,0,0,0,0,1,0
73,113,20220110,2,23,23,KYG651631007,1,94,6.0601,3,1202.4,0,0,0,0,0,0,1,0
74,113,20220113,1,3,3,US46222L1089,1,48,13.12,3,1189.9,0,0,0,0,0,0,1,0
75,113,20220118,1,19,19,US37611X1000,1,81,5.79,3,1192.3,0,0,0,0,0,0,1,0
76,113,20220126,2,0,0,US5770961002,1,3,10.9311,3,1197.8,0,0,0,0,0,0,1,0
77,113,20220126,1,0,0,US92921W3007,1,98,6.5501,3,1197.8,0,0,0,0,0,0,1,0
78,113,20220215,1,18,18,US0378331005,1,8,171.2,3,1198.3,0,0,0,0,0,0,1,0
79,123,20220224,2,20,20,US25490K2731,2,50,6.5,3,1192.1,0,0,0,0,0,0,1,0
80,123,20220224,1,20,20,US25490K2731,2,13,6.5,3,1192.1,0,0,0,0,0,0,1,0
81,123,20220224,3,20,20,US25490K2731,2,70,6.48,3,1192.1,0,0,0,0,0,0,1,0
82,123,20220224,4,20,21,US25490K2731,2,3,6.3,3,1192.1,0,0,0,0,0,0,1,0
83,123,20220301,1,23,23,US25490K2731,1,115,6.3,3,1202.7,0,0,0,0,0,0,1,0
84,123,20220301,2,23,23,US25490K2731,1,21,6.3,3,1202.7,0,0,0,0,0,0,1,0
85,123,20220408,1,0,4,US71531R1178,1,19,1.02,3,1218.5,0,0,0,0,0,0,1,0
86,129,20220127,1,6,9,US7710491033,2,2,57.06,3,1197.0,0,0,0,0,0,0,1,0
87,129,20220224,1,23,23,US7710491033,2,5,44.2033,3,1192.1,0,0,0,0,0,0,1,0
88,130,20220119,2,18,18,US5494981039,1,9,38.85,3,1188.9,0,0,0,0,0,0,1,0
89,130,20220119,5,18,18,US5494981039,1,5,38.85,3,1188.9,0,0,0,0,0,0,1,0
90,130,20220119,4,18,18,US5494981039,1,40,38.85,3,1188.9,0,0,0,0,0,0,1,0
91,130,20220119,3,18,18,US5494981039,1,162,38.85,3,1188.9,0,0,0,0,0,0,1,0
92,130,20220119,6,18,18,US5494981039,1,4,38.85,3,1188.9,0,0,0,0,0,0,1,0
93,130,20220119,1,18,18,US5494981039,1,5,38.85,3,1188.9,0,0,0,0,0,0,1,0
94,146,20220103,1,0,0,US25459Y8012,1,5,99.23,3,1185.5,0,0,0,0,0,0,1,0
95,146,20220103,2,20,20,US25459Y8012,2,1,97.75,3,1185.5,0,0,0,0,0,0,1,0
96,146,20220103,3,20,20,US25459Y8012,2,1,97.75,3,1185.5,0,0,0,0,0,0,1,0
97,146,20220103,4,20,20,US25459Y8012,2,1,97.75,3,1185.5,0,0,0,0,0,0,1,0
98,146,20220103,5,20,20,US25459Y8012,2,1,97.75,3,1185.5,0,0,0,0,0,0,1,0
99,146,20220103,6,20,20,US25459Y8012,2,1,97.75,3,1185.5,0,0,0,0,0,0,1,0
100,146,20220105,2,0,0,US0636796171,2,50,27.37,3,1194.3,0,0,0,0,0,0,1,0
101,146,20220105,3,5,5,US25460E5050,1,110,10.6109,3,1194.3,0,0,0,0,0,0,1,0
102,146,20220105,7,23,0,US0636796171,2,50,27.48,3,1194.3,0,0,0,0,0,0,1,0
103,146,20220105,1,0,0,US2362721001,2,50,8.3186,3,1194.3,0,0,0,0,0,0,1,0
104,146,20220105,4,23,23,US25460E5050,2,8,10.68,3,1194.3,0,0,0,0,0,0,1,0
105,146,20220105,5,23,23,US25460E5050,2,42,10.68,3,1194.3,0,0,0,0,0,0,1,0
106,146,20220105,6,23,23,US0636796171,2,50,27.4599,3,1194.3,0,0,0,0,0,0,1,0
