,TOTAL_VIEW_CNT,value_weighted_volatility,peak_asset_value,TOTAL_DURATION,account_age,TOTAL_FOREIGN,TOTAL_MAT,trading_frequency,age_group
0,1.0,24.57614126,1717500.0,1584.0,861.0,0.0,0.0,7.0,1.0
1,363.0,29.28601484,4592544.0,13902558.0,766.0,12071642.0,42047.0,7.0,1.0
2,47.0,85.71154784,28669524.0,109450.0,455.0,250.0,165.0,9.0,6.0
3,140.0,27.974501,28251233.0,5655619.0,1474.0,0.0,787.0,6.0,3.0
4,415.0,30.56177641,121621542.0,13754524.0,839.0,17233.0,216386.0,9.0,3.0
5,46.0,34.92154687,2356114.0,530960.0,672.0,481330.0,0.0,2.0,2.0
6,187.0,37.5329645,12359434.0,6314688.0,151.0,213.0,2329.0,1.0,4.0
7,157.0,49.76084943,4509758.0,6646883.0,619.0,0.0,0.0,8.0,3.0
8,463.0,115.4337187,587908.0,66777460.0,426.0,64054.0,0.0,3.0,5.0
9,1436.0,35.14856618,49073030.0,33948636.0,563.0,17899878.0,12231.0,8.0,3.0
10,1036.0,113.1152054,64900238.0,15085814.0,416.0,578.0,0.0,10.0,7.0
11,20.0,28.96069051,52887072.0,5903514.0,5945.0,0.0,0.0,7.0,4.0
12,52.0,94.1821,14981.0,833815.0,533.0,15889.0,23.0,2.0,5.0
13,4405.0,52.52965586,73031709.0,299489251.0,928.0,5858.0,498166.0,10.0,5.0
14,1270.0,51.82478206,2445346.0,49487076.0,3440.0,8898758.0,6464.0,9.0,3.0
15,9.0,21.4687,28001389.0,85458.0,633.0,0.0,0.0,7.0,7.0
16,1.0,26.06939013,2060209.0,12293.0,504.0,0.0,0.0,2.0,3.0
17,1124.0,74.69905671,199829.0,29099308.0,914.0,238023.0,21.0,9.0,2.0
18,536.0,30.24927899,22598219.0,10547523.0,621.0,8142832.0,1797748.0,8.0,2.0
19,109.0,33.82735666,66178295.0,2427651.0,520.0,133.0,0.0,9.0,4.0
20,172.0,42.77192768,20982762.0,4751128.0,8540.0,0.0,0.0,9.0,7.0
21,1065.0,50.13350211,24771354.0,6920438.0,617.0,179.0,887124.0,9.0,7.0
22,23.0,40.61434878,80882572.0,199398.0,1185.0,405.0,66.0,8.0,8.0
23,48.0,27.99479294,4924311.0,1897612.0,727.0,169761.0,0.0,9.0,5.0
24,197.0,21.4687,14949248.0,610019.0,3930.0,2793.0,0.0,6.0,6.0
25,54.0,31.10420845,22680545.0,311028.0,906.0,299.0,203.0,8.0,3.0
26,1.0,35.3952117,2230382.0,3258.0,520.0,0.0,0.0,4.0,3.0
27,221.0,26.63602971,6610777.0,4371902.0,643.0,11323.0,94.0,9.0,1.0
28,1107.0,67.67697402,18049379.0,7832699.0,4048.0,927419.0,10056.0,8.0,8.0
29,8.0,38.21818747,17884815.0,31284.0,624.0,208.0,0.0,2.0,8.0
30,101.0,21.4687,3753618.0,1493810.0,1696.0,0.0,72.0,2.0,3.0
31,49.0,60.0627,38963254.0,173072.0,916.0,0.0,0.0,4.0,1.0
32,201.0,26.61789815,1401969.0,3142099.0,5861.0,30994.0,421.0,6.0,7.0
33,51.0,49.9055,724500.0,1418533.0,604.0,0.0,0.0,2.0,7.0
